,TS代码,股票代码,股票名称,行业
0,000001.SZ,000001,平安银行,银行
1,000002.SZ,000002,万科A,全国地产
2,000004.SZ,000004,国农科技,生物制药
3,000005.SZ,000005,世纪星源,环境保护
4,000006.SZ,000006,深振业A,区域地产
5,000007.SZ,000007,全新好,酒店餐饮
6,000008.SZ,000008,神州高铁,运输设备
7,000009.SZ,000009,中国宝安,综合类
8,000010.SZ,000010,*ST美丽,建筑施工
9,000011.SZ,000011,深物业A,区域地产
10,000012.SZ,000012,南玻A,玻璃
11,000014.SZ,000014,沙河股份,全国地产
12,000016.SZ,000016,深康佳A,家用电器
13,000017.SZ,000017,深中华A,文教休闲
14,000018.SZ,000018,*ST神城,装修装饰
15,000019.SZ,000019,深粮控股,其他商业
16,000020.SZ,000020,深华发A,元器件
17,000021.SZ,000021,深科技,电脑设备
18,000023.SZ,000023,深天地A,其他建材
19,000025.SZ,000025,特力A,汽车服务
20,000026.SZ,000026,飞亚达A,其他商业
21,000027.SZ,000027,深圳能源,火力发电
22,000028.SZ,000028,国药一致,医药商业
23,000029.SZ,000029,深深房A,区域地产
24,000030.SZ,000030,富奥股份,汽车配件
25,000031.SZ,000031,大悦城,全国地产
26,000032.SZ,000032,深桑达A,元器件
27,000034.SZ,000034,神州数码,综合类
28,000035.SZ,000035,中国天楹,环境保护
29,000036.SZ,000036,华联控股,全国地产
30,000037.SZ,000037,深南电A,火力发电
31,000038.SZ,000038,深大通,广告包装
32,000039.SZ,000039,中集集团,轻工机械
33,000040.SZ,000040,东旭蓝天,新型电力
34,000042.SZ,000042,中洲控股,全国地产
35,000043.SZ,000043,中航善达,房产服务
36,000045.SZ,000045,深纺织A,纺织
37,000046.SZ,000046,泛海控股,全国地产
38,000048.SZ,000048,*ST康达,饲料
39,000049.SZ,000049,德赛电池,电气设备
40,000050.SZ,000050,深天马A,元器件
41,000055.SZ,000055,方大集团,其他建材
42,000056.SZ,000056,皇庭国际,房产服务
43,000058.SZ,000058,深赛格,元器件
44,000059.SZ,000059,华锦股份,石油加工
45,000060.SZ,000060,中金岭南,铅锌
46,000061.SZ,000061,农产品,农业综合
47,000062.SZ,000062,深圳华强,批发业
48,000063.SZ,000063,中兴通讯,通信设备
49,000065.SZ,000065,北方国际,建筑施工
50,000066.SZ,000066,中国长城,电脑设备
51,000068.SZ,000068,华控赛格,元器件
52,000069.SZ,000069,华侨城A,旅游景点
53,000070.SZ,000070,特发信息,通信设备
54,000078.SZ,000078,海王生物,生物制药
55,000088.SZ,000088,盐田港,港口
56,000089.SZ,000089,深圳机场,机场
57,000090.SZ,000090,天健集团,建筑施工
58,000096.SZ,000096,广聚能源,石油贸易
59,000099.SZ,000099,中信海直,空运
60,000100.SZ,000100,TCL集团,家用电器
61,000150.SZ,000150,宜华健康,医疗保健
62,000151.SZ,000151,中成股份,商贸代理
63,000153.SZ,000153,丰原药业,化学制药
64,000155.SZ,000155,川能动力,农药化肥
65,000156.SZ,000156,华数传媒,影视音像
66,000157.SZ,000157,中联重科,工程机械
67,000158.SZ,000158,常山北明,软件服务
68,000159.SZ,000159,国际实业,石油贸易
69,000166.SZ,000166,申万宏源,证券
70,000301.SZ,000301,东方盛虹,化纤
71,000333.SZ,000333,美的集团,家用电器
72,000338.SZ,000338,潍柴动力,汽车配件
73,000400.SZ,000400,许继电气,电气设备
74,000401.SZ,000401,冀东水泥,水泥
75,000402.SZ,000402,金融街,全国地产
76,000403.SZ,000403,振兴生化,生物制药
77,000404.SZ,000404,长虹华意,专用机械
78,000407.SZ,000407,胜利股份,供气供热
79,000408.SZ,000408,藏格控股,农药化肥
80,000409.SZ,000409,*ST地矿,综合类
81,000410.SZ,000410,沈阳机床,机床制造
82,000411.SZ,000411,英特集团,医药商业
83,000413.SZ,000413,东旭光电,元器件
84,000415.SZ,000415,渤海租赁,多元金融
85,000416.SZ,000416,民生控股,多元金融
86,000417.SZ,000417,合肥百货,百货
87,000419.SZ,000419,通程控股,百货
88,000420.SZ,000420,吉林化纤,化纤
89,000421.SZ,000421,南京公用,供气供热
90,000422.SZ,000422,ST宜化,农药化肥
91,000423.SZ,000423,东阿阿胶,中成药
92,000425.SZ,000425,徐工机械,工程机械
93,000426.SZ,000426,兴业矿业,铅锌
94,000428.SZ,000428,华天酒店,酒店餐饮
95,000429.SZ,000429,粤高速A,路桥
96,000430.SZ,000430,张家界,旅游景点
97,000488.SZ,000488,晨鸣纸业,造纸
98,000498.SZ,000498,山东路桥,建筑施工
99,000501.SZ,000501,鄂武商A,百货
100,000502.SZ,000502,绿景控股,医疗保健
101,000503.SZ,000503,国新健康,医疗保健
102,000504.SZ,000504,*ST生物,环境保护
103,000505.SZ,000505,京粮控股,食品
104,000506.SZ,000506,中润资源,黄金
105,000507.SZ,000507,珠海港,港口
106,000509.SZ,000509,华塑控股,其他建材
107,000510.SZ,000510,新金路,化工原料
108,000513.SZ,000513,丽珠集团,化学制药
109,000514.SZ,000514,渝开发,区域地产
110,000516.SZ,000516,国际医学,医疗保健
111,000517.SZ,000517,荣安地产,区域地产
112,000518.SZ,000518,四环生物,生物制药
113,000519.SZ,000519,中兵红箭,矿物制品
114,000520.SZ,000520,长航凤凰,水运
115,000521.SZ,000521,长虹美菱,家用电器
116,000523.SZ,000523,广州浪奇,日用化工
117,000524.SZ,000524,岭南控股,酒店餐饮
118,000525.SZ,000525,红太阳,农药化肥
119,000526.SZ,000526,紫光学大,文教休闲
120,000528.SZ,000528,柳工,工程机械
121,000529.SZ,000529,广弘控股,食品
122,000530.SZ,000530,大冷股份,机械基件
123,000531.SZ,000531,穗恒运A,火力发电
124,000532.SZ,000532,华金资本,多元金融
125,000533.SZ,000533,顺钠股份,电气设备
126,000534.SZ,000534,万泽股份,生物制药
127,000536.SZ,000536,华映科技,元器件
128,000537.SZ,000537,广宇发展,区域地产
129,000538.SZ,000538,云南白药,中成药
130,000539.SZ,000539,粤电力A,火力发电
131,000540.SZ,000540,中天金融,多元金融
132,000541.SZ,000541,佛山照明,家用电器
133,000543.SZ,000543,皖能电力,火力发电
134,000544.SZ,000544,中原环保,环境保护
135,000545.SZ,000545,金浦钛业,化工原料
136,000546.SZ,000546,金圆股份,水泥
137,000547.SZ,000547,航天发展,通信设备
138,000548.SZ,000548,湖南投资,路桥
